source,author,title,description,url,publishedAt
abc-news,"DANIEL NIEMANN Associated Press, MIKE CORDER Associated Press",Nobel Prize in physics awarded to two scientists for machine learning discoveries,John Hopfield and Geoffrey Hinton have been awarded the Nobel Prize in physics for discoveries and inventions that formed the building blocks of machine learning,https://abcnews.go.com/International/wireStory/nobel-prize-physics-awarded-day-after-2-americans-114587561,2024-10-08 07:50:44
abc-news,Jon Haworth,"US Marshals arrest man 5 months after he allegedly shot somebody in the head, set them on fire","Michael Hurley, 37, had been wanted in Ohio for aggravated murder since May.",https://abcnews.go.com/US/us-marshals-arrest-man-5-months-after-allegedly/story?id=114586967,2024-10-08 07:06:06
abc-news,Jon Haworth,40-year-old man falls 200 feet to his death while canyoneering at national park,The man was hiking with three others through Heaps Canyon when he fell.,https://abcnews.go.com/US/40-year-man-falls-200-feet-death-canyoneering/story?id=114586730,2024-10-08 06:38:09
abc-news,Jolie Lash,3 dead in medical helicopter crash,The three were on their way to pick up a patient when the incident happened.,https://abcnews.go.com/US/3-dead-medical-helicopter-crash/story?id=114584811,2024-10-08 03:29:00
abc-news,"Will McDuffie, Gabriella Abdul-Hakim, Fritz Farrow","Harris, pressed on how she’d get economic plan through Congress, suggests there might be a path","Harris has proposed tax credits, including for parents and first-time homebuyers",https://abcnews.go.com/Politics/harris-pressed-shed-economic-plan-congress-suggests-path/story?id=114565146,2024-10-08 01:25:00
abc-news,"Deena Zaru, Tesfaye Negussie",Former officer convicted in Tyre Nichols' death to be held without bond until sentencing,The two other former Memphis officers are allowed to be on supervised release.,https://abcnews.go.com/US/former-officer-convicted-tyre-nichols-death-held-bond/story?id=114560040,2024-10-07 22:43:00
abc-news,Shannon K. Kingston,"After a year of war in Gaza, American diplomacy proves futile so far: ANALYSIS",Experts say failure to resolve the conflict will have lasting effects for U.S.,https://abcnews.go.com/Politics/after-year-war-gaza-american-diplomacy-proves-futile-analysis/story?id=114558519,2024-10-07 22:29:30
abc-news,MORGAN LEE Associated Press,Movie armorer on Alec Baldwin's film 'Rust' pleads guilty to gun charge in separate case,She pleaded guilty to carrying a gun into a license liquor establishment.,https://abcnews.go.com/US/wireStory/movie-armorer-alec-baldwins-film-rust-pleads-guilty-114579606,2024-10-07 22:02:57
abc-news,BRUCE SHIPKOWSKI Associated Press,"American Water, largest water utility in US, dealing with cyberattack","American Water serves 14 million people in 14 states, 18 military installations.",https://abcnews.go.com/Technology/wireStory/american-water-largest-water-utility-us-dealing-cyberattack-114579099,2024-10-07 21:51:07
abc-news,"Jay O'Brien, Julia Reinstein",Florida Gov. Ron DeSantis refuses call from VP Kamala Harris ahead of Hurricane Milton: Source,"DeSantis believed the call was politically motivated, a source said.",https://abcnews.go.com/US/florida-gov-ron-desantis-refuses-call-vp-kamala/story?id=114570089,2024-10-07 19:10:00
